CMS_ID;LANGUAGE;NAZIV_RESORT;KRATAK_OPIS_RESORT;ID_TABLICA;CREATED_DATE_;MODIFIED_DATE_
201;E;Solaris Camping Resort 3*;Surrounded by a thick oak forest on the Lanterna peninsula near Poreč, the spacious pitches, apartments and rooms of the Solaris Camping Resort offer a relaxing holiday for nature lovers and naturists.trebaFixati;27;2023-05-05 14:03:02;2023-05-05 14:03:02
201;HR;Solaris Camping Resort 3*;Okruženi hrastovom šumom u miru zelenog poluotoka Lanterna kraj Poreča prostrane parcele, apartmani i sobe Solaris Camping Resorta pružaju opuštajući odmor ljubiteljima prirode i naturizma.trebaFixati;28;2023-05-05 14:03:02;2023-05-05 14:03:02
201;I;Solaris Camping Resort 3*;Circondati da un fitto querceto nel cuore verdeggiante della penisola Lanterna vicino a Parenzo, le spaziose piazzole, gli appartamenti e le camere del Solaris Camping Resort by Valamar regalano agli appassionati di naturismo una vacanza all’insegna del relax.trebaFixati;29;2023-05-05 14:03:02;2023-05-05 14:03:02
201;SL;Solaris Camping Resort 3*;Obdani s hrastovim gozdom na območju miru zelenega polotoka Lanterna pri Poreču, apartmaji, prostorne parcele in sobe Solaris Camping Resorta ponujajo sproščujoč dopust za ljubitelje narave in naturizma.trebaFixati;30;2023-05-05 14:03:02;2023-05-05 14:03:02
204;D;Valamar Lacroma Dubrovnik Hotel 4*;Das Valamar Lacroma Dubrovnik Hotel liegt auf der ruhigen Halbinsel Babin Kuk mit ihrem üppigen Grün und den herrlichen weißen Kiesstränden nur 15 Minuten von der Altstadt von Dubrovnik entfernt.trebaFixati;31;2023-05-05 14:03:02;2023-05-05 14:03:02
204;E;Valamar Lacroma Dubrovnik Hotel 4*;The Valamar Lacroma Dubrovnik Hotel is located on the tranquil Babin kuk peninsula, surrounded by lush greenery and soothing white pebble beaches, only 15 minutes from the old town of Dubrovnik.trebaFixati;32;2023-05-05 14:03:02;2023-05-05 14:03:02
204;HR;Valamar Lacroma Dubrovnik Hotel 4*;Valamar Lacroma Dubrovnik Hotel smješten je na mirnom poluotoku Babin kuk.;33;2023-05-05 14:03:02;2023-05-05 14:03:02
204;I;Valamar Lacroma Dubrovnik Hotel 4*;L’hotel Valamar Lacroma Dubrovnik è situato sulla tranquilla penisola di Babin kuk.;34;2023-05-05 14:03:02;2023-05-05 14:03:02
204;SL;Valamar Lacroma Dubrovnik Hotel 4*;Valamar Lacroma Dubrovnik Hotel leži na mirnem polotoku Babin kuk.;35;2023-05-05 14:03:02;2023-05-05 14:03:02
210;D;Isabella Valamar Collection Island Resort 4*/5*;Das Isabella Valamar Collection Island Resort auf der zauberhaften Insel Sveti Nikola kann man von der Altstadt von Poreč in nur fünf Minuten mit dem Boot erreichen.trebaFixati;36;2023-05-05 14:03:02;2023-05-05 14:03:02
210;E;Isabella Valamar Collection Island Resort 4*/5*;Isabella Valamar Collection Island Resort is located on the magical island of Sveti Nikola, which can be reached from the Poreč 's historic centre in five minutes by boat.trebaFixati;37;2023-05-05 14:03:02;2023-05-05 14:03:02
210;HR;Isabella Valamar Collection Island Resort 4*/5*;Samo petminutna vožnja brodicom dijeli starogradsku rivu Poreča i Isabella Valamar Collection Island Resort na čarobnom otoku Sveti Nikola.;38;2023-05-05 14:03:02;2023-05-05 14:03:02
210;I;Isabella Valamar Collection Island Resort 4*/5*;Il Isabella Valamar Collection Island Resort sorge sulla magica isola di Sveti Nikola, a soli cinque minuti di traversata in barca dalla riva del centro storico di Parenzo.trebaFixati;39;2023-05-05 14:03:02;2023-05-05 14:03:02
210;SL;Isabella Valamar Collection Island Resort 4*/5*;Le petminutna vožnja z ladjico loči poreško rivo v starem mestnem jedru in Isabella Valamar Collection Island Resort na čarobnem otoku Sveti Nikola.;40;2023-05-05 14:03:02;2023-05-05 14:03:02
216;D;Miramar Sunny Hotel & Residence by Valamar 3*;Das Miramar Sunny Hotel & Residence erweitert sein Konzept eines entspannten Strandurlaubs für eine neue Generation von Gästen und bietet ab sofort die volle Freiheit der Wahl.trebaFixati;41;2023-05-05 14:03:02;2023-05-05 14:03:02
216;E;Miramar Sunny Hotel & Residence by Valamar 3*;Miramar Sunny Hotel & Residence adds complete freedom of choice to its laidback beach vacation concept designed for the new traveller.;42;2023-05-05 14:03:02;2023-05-05 14:03:02
